DATAFLOW,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2008,163,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2009,163,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2010,163,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2011,164,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2012,164,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2013,164,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2014,164,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2015,164,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2016,163,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2017,164,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2018,200,
ESTAT:TGS00113(1.0),A,RL,KM,NL11,2019,171,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2008,151,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2009,145,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2010,151,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2011,151,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2012,151,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2013,151,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2014,150,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2015,150,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2016,149,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2017,149,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2018,149,
ESTAT:TGS00113(1.0),A,RL,KM,NL12,2019,150,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2008,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2009,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2010,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2011,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2012,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2013,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2014,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2015,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2016,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2017,105,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2018,109,
ESTAT:TGS00113(1.0),A,RL,KM,NL13,2019,101,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2008,302,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2009,302,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2010,302,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2011,302,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2012,302,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2013,302,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2014,314,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2015,314,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2016,312,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2017,312,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2018,318,
ESTAT:TGS00113(1.0),A,RL,KM,NL21,2019,315,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2008,542,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2009,542,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2010,542,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2011,542,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2012,542,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2013,542,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2014,546,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2015,546,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2016,544,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2017,544,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2018,556,
ESTAT:TGS00113(1.0),A,RL,KM,NL22,2019,542,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2008,40,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2009,40,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2010,40,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2011,40,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2012,40,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2013,40,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2014,67,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2015,67,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2016,67,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2017,67,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2018,67,
ESTAT:TGS00113(1.0),A,RL,KM,NL23,2019,67,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2008,195,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2009,195,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2010,195,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2011,196,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2012,196,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2013,196,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2014,195,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2015,195,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2016,194,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2017,194,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2018,196,
ESTAT:TGS00113(1.0),A,RL,KM,NL31,2019,200,
ESTAT:TGS00113(1.0),A,RL,KM,NL32,2008,357,
ESTAT:TGS00113(1.0),A,RL,KM,NL32,2009,357,
ESTAT:TGS00113(1.0),A,RL,KM,NL32,2010,371,
ESTAT:TGS00113(1.0),A,RL,KM,NL32,2011,371,
ESTAT:TGS00113(1.0),A,RL,KM,NL32,2012,371,
